City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
222,mahebourg,MU,71.26,scattered clouds,-20.4081,57.7,
223,dalton,US,73.89,clear sky,34.7698,-84.9702,
227,ust-maya,RU,72.93,clear sky,60.4167,134.5333,
229,talara,PE,64.71,overcast clouds,-4.5772,-81.2719,
232,batagay,RU,74.32,overcast clouds,67.6333,134.6333,
233,lata,PT,63.07,overcast clouds,40.1629,-8.3327,
234,adeje,ES,67.08,clear sky,28.1227,-16.726,
235,portland,US,67.93,overcast clouds,45.5234,-122.6762,
237,biryukove,UA,63.68,clear sky,47.9563,39.7384,
241,vao,NC,76.24,overcast clouds,-22.6667,167.4833,
244,tura,IN,81.05,light rain,25.5198,90.2201,
245,boyolangu,ID,86.7,broken clouds,-8.1181,111.8935,
246,nishihara,JP,76.68,mist,26.1842,127.7558,
247,havelock,US,78.75,clear sky,34.8791,-76.9013,
248,villa union,MX,76.96,scattered clouds,23.2,-106.2333,
249,puerto del rosario,ES,67.75,broken clouds,28.5004,-13.8627,
250,cairns,AU,85.06,overcast clouds,-16.9167,145.7667,
251,galveston,US,83.05,clear sky,29.3669,-94.9669,
255,alofi,NU,78.69,scattered clouds,-19.0595,-169.9187,
256,lima,PE,62.91,broken clouds,-12.0432,-77.0282,
257,saint anthony,US,62.49,few clouds,45.0205,-93.218,
258,meulaboh,ID,83.26,overcast clouds,4.1363,96.1285,
260,sembe,CG,70.29,light rain,1.6481,14.5806,
262,maceio,BR,74.64,fog,-9.6658,-35.7353,
263,mae sot,TH,78.75,overcast clouds,16.7167,98.5667,
265,redlands,US,85.19,clear sky,34.0556,-117.1825,
266,hofu,JP,71.51,few clouds,34.05,131.5667,
267,marsa matruh,EG,73.31,clear sky,31.3525,27.2453,
269,chicama,PE,61.34,few clouds,-7.8447,-79.1469,
270,san patricio,US,82.29,clear sky,28.017,-97.5169,
271,cabedelo,BR,72.27,scattered clouds,-6.9811,-34.8339,
273,nobeoka,JP,71.96,scattered clouds,32.5833,131.6667,
