City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
107,yumen,CN,2022-06-08 03:30:36,40.2833,97.2,74.71,14,73,1.16,broken clouds,0.0,0
108,yelizovo,RU,2022-06-08 03:30:37,53.1873,158.3805,50.14,66,75,11.18,broken clouds,0.0,0
109,broome,US,2022-06-08 03:30:39,42.2506,-75.833,67.19,93,75,8.05,broken clouds,0.0,0
110,hirara,JP,2022-06-08 03:30:41,24.8,125.2833,77.27,88,75,10.36,broken clouds,0.0,0
111,quatre cocos,MU,2022-06-08 03:30:42,-20.2078,57.7625,71.1,76,25,7.78,scattered clouds,0.0,0
112,yerbogachen,RU,2022-06-08 03:30:43,61.2767,108.0108,50.58,55,95,8.72,overcast clouds,0.0,0
113,salym,RU,2022-06-08 03:30:44,60.0625,71.4789,58.51,34,62,12.48,broken clouds,0.0,0
114,ushtobe,KZ,2022-06-08 03:30:44,45.2514,77.9838,82.81,24,0,6.06,clear sky,0.0,0
115,konispol,AL,2022-06-08 03:30:44,39.6589,20.1814,70.75,86,39,3.83,scattered clouds,0.0,0
116,clyde river,CA,2022-06-08 03:30:45,70.4692,-68.5914,35.83,87,100,4.61,overcast clouds,0.0,0
117,kenai,US,2022-06-08 03:30:33,60.5544,-151.2583,53.69,86,100,8.05,overcast clouds,0.0,0
118,hammerfest,NO,2022-06-08 03:30:46,70.6634,23.6821,45.05,61,75,12.66,broken clouds,0.0,0
119,rizhao,CN,2022-06-08 03:30:46,35.4275,119.4553,73.33,57,3,11.65,clear sky,0.0,0
120,benguela,AO,2022-06-08 03:30:46,-12.5763,13.4055,70.99,53,4,5.3,clear sky,0.0,0
121,puchezh,RU,2022-06-08 03:30:47,56.9788,43.1676,51.03,74,100,16.62,overcast clouds,0.0,0
122,aswan,EG,2022-06-08 03:30:47,24.0934,32.907,84.31,24,0,9.57,clear sky,0.0,0
123,hithadhoo,MV,2022-06-08 03:30:49,-0.6,73.0833,82.78,67,99,3.67,overcast clouds,0.0,0
124,paamiut,GL,2022-06-08 03:30:50,61.994,-49.6678,35.22,89,56,4.07,broken clouds,0.0,0
125,shingu,JP,2022-06-08 03:30:50,33.7333,135.9833,69.22,75,63,4.74,broken clouds,0.0,0
126,cidreira,BR,2022-06-08 03:27:10,-30.1811,-50.2056,61.74,85,0,7.72,clear sky,0.0,0
127,port alfred,ZA,2022-06-08 03:30:50,-33.5906,26.891,62.35,57,0,11.03,clear sky,0.0,0
128,umba,RU,2022-06-08 03:30:52,66.6871,34.3429,47.71,75,4,3.33,clear sky,0.0,0
129,cherskiy,RU,2022-06-08 03:30:52,68.75,161.3,55.24,46,100,14.83,overcast clouds,0.0,0
130,zheleznodorozhnyy,RU,2022-06-08 03:30:53,55.7503,38.0042,57.72,60,25,3.27,scattered clouds,0.0,0
131,guerrero negro,MX,2022-06-08 03:30:53,27.9769,-114.0611,63.01,88,55,13.98,broken clouds,0.0,0
132,moses lake,US,2022-06-08 03:30:54,47.1301,-119.2781,74.08,35,0,5.75,clear sky,0.0,0
133,patos de minas,BR,2022-06-08 03:30:56,-18.5789,-46.5181,58.96,61,2,1.16,clear sky,0.0,0
134,port lincoln,AU,2022-06-08 03:27:58,-34.7333,135.8667,55.98,61,96,10.13,overcast clouds,0.0,0
